scenario,variant,pinn_placement,use_l_ego,use_safety_filter,use_intent,lambda_phys,seed,eval_mode,mean_return,std_return,collision_rate,pothole_hits_mean,mean_ttc,min_ttc
1c,pinn_no_fric,critic,False,False,True,0.5,456,stochastic,66.85491999999994,122.0363597108402,0.0,0.0,14.198915462980098,6.725721917957535
1c,pinn_no_fric,critic,False,False,True,0.5,789,deterministic,223.7181200000018,103.8663236344954,0.02,0.0,14.899861428164943,2.726256027637371
1c,pinn_no_fric,critic,False,False,True,0.5,789,stochastic,104.87803999999993,115.60071146320163,0.0,0.0,13.936253082403788,7.122565056606767
1c,pinn_no_fric,critic,False,False,True,0.5,999,deterministic,217.89320000000072,157.88319539153056,0.0,0.0,11.660309547736198,3.935050246863413
1c,pinn_no_fric,critic,False,False,True,0.5,999,stochastic,24.45057999999998,107.06790769770181,0.0,0.0,15.19664133903686,7.223154232713083
1c,pinn_no_fric,critic,False,False,True,1.0,42,deterministic,128.77129999999974,156.98817999164788,0.02,0.0,14.543151264362233,2.263284094528977
1c,pinn_no_fric,critic,False,False,True,1.0,42,stochastic,110.49370000000013,197.12959256897497,0.0,0.0,13.210613028720784,4.940257735873945
1c,pinn_no_fric,critic,False,False,True,1.0,123,deterministic,191.6408599999999,110.65689128906698,0.0,0.0,13.693400498004193,1.688793302933263
1c,pinn_no_fric,critic,False,False,True,1.0,123,stochastic,12.899620000000063,108.90942990097592,0.0,0.0,17.21631127849061,6.560090975031621
1c,pinn_no_fric,critic,False,False,True,1.0,456,deterministic,221.7899400000016,112.23656722698074,0.0,0.0,22.806819124145505,4.131242714213092
1c,pinn_no_fric,critic,False,False,True,1.0,456,stochastic,-1.4742400000000302,83.92212090350432,0.0,0.0,15.780123841533841,7.064561106969615
1c,pinn_no_fric,critic,False,False,True,1.0,789,deterministic,270.66420000000284,88.63768376712048,0.0,0.0,13.459258321740144,4.531969159529554
1c,pinn_no_fric,critic,False,False,True,1.0,789,stochastic,44.654279999999886,105.76191793685285,0.0,0.0,14.597423818083948,7.242458425117338
1c,pinn_no_fric,critic,False,False,True,1.0,999,deterministic,220.0289000000021,169.67072058799803,0.0,0.0,11.963200762153757,4.42709807377647
1c,pinn_no_fric,critic,False,False,True,1.0,999,stochastic,111.82074000000046,146.68833783635463,0.0,0.0,14.298388310048338,6.4243730276316615
1c,safety_filter,none,False,True,True,0.0,42,deterministic,92.77319999999989,132.88193856532988,0.0,0.0,10.413840154329492,1.3525509044096202
1c,safety_filter,none,False,True,True,0.0,42,stochastic,82.48801999999978,140.02756724823718,0.0,0.0,11.59186232846979,2.987142115148671
1c,safety_filter,none,False,True,True,0.0,123,deterministic,136.47365999999948,137.35991759223054,0.0,0.0,10.71449324193591,2.1791330660341934
1c,safety_filter,none,False,True,True,0.0,123,stochastic,32.09766000000001,118.6810910301401,0.0,0.0,16.05138200478682,6.460838894132922
1c,safety_filter,none,False,True,True,0.0,456,deterministic,138.9872200000006,106.11818044393581,0.0,0.0,11.656859746133199,3.30920948245198
