scenario,maneuver,method,lambda,metric,n,mean,ci_low,ci_high
2_dense,right_left,eikonal_aux,0.1,CR,5,0.0003333333333333334,0.0,0.001
2_dense,right_left,eikonal_aux,0.1,mean_return,5,26.758644999999984,6.177643775000011,40.050402999999946
2_dense,right_left,eikonal_aux,0.1,mean_ttc,5,13.827133942798199,10.953597970214776,17.023751410028026
2_dense,right_left,eikonal_aux,0.2,SR,5,0.11466666666666667,0.045,0.19533333333333336
2_dense,right_left,eikonal_aux,0.2,CR,5,0.0,0.0,0.0
2_dense,right_left,eikonal_aux,0.2,mean_return,5,53.03803200000002,28.600208333333335,77.47585566666672
2_dense,right_left,eikonal_aux,0.2,mean_ttc,5,9.899267976854354,9.348246591631098,10.588040323287583
2_dense,right_left,eikonal_aux,0.5,SR,5,0.05833333333333333,0.025,0.10833333333333332
2_dense,right_left,eikonal_aux,0.5,CR,5,0.0,0.0,0.0
2_dense,right_left,eikonal_aux,0.5,mean_return,5,35.850775666666664,19.22889700000002,52.47265433333331
2_dense,right_left,eikonal_aux,0.5,mean_ttc,5,11.977903263307923,10.361219169646995,13.594676016913388
2_dense,right_left,eikonal_aux,1.0,SR,5,0.08533333333333334,0.03298333333333334,0.146
2_dense,right_left,eikonal_aux,1.0,CR,5,0.0,0.0,0.0
2_dense,right_left,eikonal_aux,1.0,mean_return,5,34.239232333333334,13.539669666666654,54.27140233333332
2_dense,right_left,eikonal_aux,1.0,mean_ttc,5,12.987261475458627,11.454547150642764,14.500870814470698
