method,scenario,maneuver,seed,machine,intent,n_iters,window_iters,residual_early,residual_late,residual_ratio,distill_early,distill_late
hjb_aux,4,stem_right,999,cmu6_p2,False,98,10,199.75015285,8301.86696658,41.561255,14.21178578,128.97563934
hjb_aux,4,stem_right,1111,cmu6_p2,True,98,10,1223.82640268,1404.07188998,1.14728,10.73919733,75.90540085
hjb_aux,4,stem_right,1111,cmu6_p2,False,98,10,186.75604618,1245.07159954,6.666834,14.42488033,119.25229568
hjb_aux,4,stem_right,2222,cmu6_p2,True,98,10,928.61662531,136.32272334,0.146802,3.69591392,84.71786804
hjb_aux,4,stem_right,2222,cmu6_p2,False,98,10,96.3308594,14427.30423889,149.76825,7.27634567,87.05517578
hjb_aux,4,stem_right,3333,cmu6_p2,True,98,10,78.09712932,5177.80787328,66.299593,5.25380175,100.33316536
hjb_aux,4,stem_right,3333,cmu6_p2,False,98,10,178.99308508,2705.63346088,15.115855,11.08882859,119.42250099
hjb_aux,4,stem_right,4444,cmu6_p2,True,98,10,51.76341193,167.09323391,3.228018,23.13456836,113.15535393
hjb_aux,4,stem_right,4444,cmu6_p2,False,98,10,66.22405213,647.66639968,9.779927,7.56020872,91.59705925
hjb_aux,4,stem_right,5555,cmu6_p2,True,98,10,520.88251925,486.29459454,0.933597,3.94964085,98.90966949
hjb_aux,4,stem_right,5555,cmu6_p2,False,98,10,659.79695665,7331.05674841,11.11108,7.16095905,122.22717056
soft_hjb_aux,1a,right_stem,42,cmu7_p2,True,98,10,161.59596318,2.29615842,0.014209,69.82077726,69.99423962
soft_hjb_aux,1a,right_stem,42,cmu7_p2,False,98,10,242.5916021,2.16589779,0.008928,15.74161654,82.85664635
soft_hjb_aux,1a,right_stem,123,cmu7_p2,True,98,10,304.64889324,2.26877646,0.007447,15.99354458,58.87074165
soft_hjb_aux,1a,right_stem,123,cmu7_p2,False,98,10,201.80297405,35.42794417,0.175557,82.93520312,56.25746536
soft_hjb_aux,1a,right_stem,456,cmu7_p2,True,98,10,265.28218346,2204.27823775,8.309183,99.23835484,68.77606087
soft_hjb_aux,1a,right_stem,456,cmu7_p2,False,98,10,12.25763409,18.60268575,1.517641,53.65413011,63.18237305
soft_hjb_aux,1a,right_stem,789,cmu7_p2,True,98,10,43.9521367,2.29130682,0.052132,10.67624218,56.47063217
soft_hjb_aux,1a,right_stem,789,cmu7_p2,False,98,10,115.18372291,2.11838486,0.018391,45.5732864,57.08331985
soft_hjb_aux,1a,right_stem,999,cmu7_p2,True,98,10,228.56013224,2.1867932,0.009568,30.54879415,54.16446381
soft_hjb_aux,1a,right_stem,999,cmu7_p2,False,98,10,975.6960866,1.91318203,0.001961,41.97644037,37.15097809
soft_hjb_aux,1a,right_stem,1111,cmu7_p2,True,98,10,10.60921669,1.93518229,0.182406,51.02644303,58.94370384
soft_hjb_aux,1a,right_stem,1111,cmu7_p2,False,98,10,528.62638937,1.86337568,0.003525,132.56806123,85.5983284
soft_hjb_aux,1a,right_stem,2222,cmu7_p2,True,98,10,265.97450232,1.88359729,0.007082,41.2781756,69.71092491
soft_hjb_aux,1a,right_stem,2222,cmu7_p2,False,98,10,474.62713726,2.24455247,0.004729,45.73986903,82.81288719
soft_hjb_aux,1a,right_stem,3333,babel-x9-28,True,98,10,593.81331271,2.06157013,0.003472,47.25461455,52.30222511
soft_hjb_aux,1a,right_stem,3333,cmu7_p2,False,98,10,298.92679576,3374.97357559,11.290301,43.24882516,72.66494331
soft_hjb_aux,1a,right_stem,4444,babel-x9-28,True,98,10,205.79906592,2.08476684,0.01013,65.37773883,72.19748745
soft_hjb_aux,1a,right_stem,4444,cmu7_p2,False,98,10,216.40079867,1.9686271,0.009097,81.91038549,47.98142471
soft_hjb_aux,1a,right_stem,5555,cmu7_p2,True,98,10,271.87180399,2.08226525,0.007659,8.81059687,70.77201481
soft_hjb_aux,1a,right_stem,5555,cmu7_p2,False,98,10,890.16667393,65.07626362,0.073106,12.20265582,92.65975952
soft_hjb_aux,1a,stem_left,42,cmu7_p2,True,98,10,350.0661463,4114.20642753,11.752654,164.48424221,57.14030304
soft_hjb_aux,1a,stem_left,42,cmu7_p2,False,98,10,28.14394046,5.15981431,0.183337,18.87416559,119.6364212
soft_hjb_aux,1a,stem_left,123,cmu7_p2,True,98,10,2044.01264505,2.71305006,0.001327,49.12723293,80.0512104
soft_hjb_aux,1a,stem_left,123,cmu7_p2,False,98,10,649.50612645,2.78351212,0.004286,50.4508581,76.55031509
soft_hjb_aux,1a,stem_left,456,babel-x9-28,True,98,10,2281.40402994,2562.2170229,1.123088,107.0325354,101.92699356
soft_hjb_aux,1a,stem_left,456,cmu7_p2,False,98,10,119.04851307,782.53597767,6.573253,146.13269097,117.58688126
soft_hjb_aux,1a,stem_left,789,babel-x9-28,True,98,10,78.36283525,432.72311499,5.522045,57.26148147,71.52193222
