scenario,maneuver,method,metric,n_intent,n_nointent,intent_mean,intent_ci_low,intent_ci_high,nointent_mean,nointent_ci_low,nointent_ci_high,delta,cohens_d,raw_p_welch,corrected_p_welch,significant_welch,marker_welch
1b,stem_left,soft_hjb_aux,success_rate,8,10,0.228542,0.12062,0.337141,0.292667,0.2048,0.370846,-0.064125,-0.4183,0.40146021885819083,1.0,False,ns
1b,stem_left,soft_hjb_aux,collision_rate,8,10,0.195833,0.150208,0.237724,0.173667,0.139821,0.212854,0.022167,0.3265,0.5026158061391941,1.0,False,ns
1b,stem_left,soft_hjb_aux,mean_return,8,10,171.250961,149.515476,195.030438,178.072611,157.909156,196.819952,-6.82165,-0.2011,0.6794245776421157,1.0,False,ns
1b,stem_right,cbf_aux,success_rate,10,10,0.245167,0.202992,0.291867,0.233,0.172483,0.287196,0.012167,0.1338,0.7683779274976303,1.0,False,ns
1b,stem_right,cbf_aux,collision_rate,10,10,0.55,0.498667,0.609354,0.537667,0.48,0.620337,0.012333,0.1097,0.8090092950942172,1.0,False,ns
1b,stem_right,cbf_aux,mean_return,10,10,159.661713,144.299474,175.014694,158.865291,140.975515,174.38739,0.796423,0.0276,0.9515439675871584,1.0,False,ns
1b,stem_right,drppo,success_rate,10,10,0.2585,0.204154,0.304025,0.216667,0.156167,0.266337,0.041833,0.4556,0.3219516176490782,1.0,False,ns
1b,stem_right,drppo,collision_rate,10,10,0.501667,0.457492,0.546,0.525833,0.449808,0.602842,-0.024167,-0.2179,0.6333098490438003,1.0,False,ns
1b,stem_right,drppo,mean_return,10,10,172.645285,155.756728,189.420338,159.776336,142.847388,176.401252,12.868948,0.4314,0.3475723004931168,1.0,False,ns
1b,stem_right,eikonal_aux,success_rate,10,10,0.061667,0.02215,0.109187,0.0785,0.0335,0.134679,-0.016833,-0.1949,0.6682597041115459,1.0,False,ns
1b,stem_right,eikonal_aux,collision_rate,10,10,0.540333,0.486833,0.593675,0.585333,0.526329,0.641346,-0.045,-0.4633,0.3139651610644416,1.0,False,ns
1b,stem_right,eikonal_aux,mean_return,10,10,112.078404,98.574599,127.743874,108.844592,94.78757,125.780673,3.233812,0.1187,0.7936643931468083,1.0,False,ns
